index,paris,london,madrid,berlin,milano,barcelona,athinia,roma,birmingham,lisboa,napoli,katowice,manchester,hamburg,budapest,bucuresti,warszawa,stuttgart,wien,münchen,brussels,stockholm,frankfurt am main,köln,kobenhavn,valencia,torino,glasgow,praha,lyon,sofia,liverpool,porto,sevilla,dublin,helsinki,amsterdam,rotterdam,düsseldorf,essen-oberhausen,lille,lodz,marseille,antwerp,bilbao,newcastle,krakow,bochum-herne,thessaloniki,nürnberg,riga,duisburg,dortmund,hannover,zürich,oslo,bremen,dresden,sheffield,palermo,poznan,gelsenkirchen-bottrop,bordeaux,wroclaw,göteborg,zaragoza,genova,catania,den haag,toulouse,bristol,vilnius,saarbrücken,malaga,nantes,leeds,nottingham,firenze,gdansk,leipzig,mannheim,belfast,portsmouth,venezia,edinburgh,murcia,nice,liège,bratislava,leicester,karlsruhe,bergamo,palma de mallorca,bologna,bielefeld,rouen,strasbourg,tallinn,szczecin,grenoble
lille,19,13,1,5,0,2,0,0,1,0,0,0,2,1,1,0,0,2,0,0,11,1,0,0,0,2,0,1,0,6,0,0,0,0,3,2,8,4,2,0,21,0,4,6,0,3,0,0,0,1,1,0,0,0,0,3,2,1,0,1,0,0,6,0,0,0,0,0,0,5,0,0,0,0,3,1,0,0,0,0,0,0,1,1,1,0,3,1,0,0,0,0,0,1,0,3,4,2,0,0
lodz,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
marseille,12,12,5,4,0,7,0,4,1,0,1,1,3,0,1,0,0,1,0,0,3,2,0,0,0,6,0,3,0,8,3,1,1,1,3,2,6,1,0,0,4,0,22,3,1,2,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,6,0,1,0,0,4,3,0,0,0,0,0,0,0,0,2,2,5,2,1,0,0,0,0,2,0,2,3,0,0,0
antwerp,21,26,7,12,0,6,0,1,1,0,0,2,2,3,5,0,0,0,1,0,13,5,0,0,0,4,0,3,0,3,2,1,0,1,3,1,12,6,2,0,6,0,3,38,1,1,0,0,0,0,2,2,1,0,2,1,1,0,0,2,0,0,4,0,0,1,0,0,0,2,0,1,0,1,3,1,2,0,1,2,0,0,1,0,3,1,5,6,0,1,0,0,0,4,0,1,5,0,0,0
bilbao,2,3,4,1,0,3,0,1,1,0,2,1,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,2,0,0,1,1,0,2,1,1,0,1,0,0,0,0,1,1,6,1,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0
newcastle,14,37,9,3,0,3,0,1,10,0,0,1,20,1,2,0,0,1,0,0,2,2,0,0,0,1,0,11,0,4,0,13,1,0,5,1,2,3,0,0,3,0,2,1,1,49,1,0,1,0,1,0,0,0,2,2,1,2,8,0,0,0,1,0,0,0,0,0,0,1,8,0,0,0,0,11,4,0,0,0,0,5,8,0,9,0,0,0,1,8,0,0,0,3,0,0,2,1,0,0
krakow,1,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,1,3,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bochum-herne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
thessaloniki,4,6,1,3,0,1,0,2,1,0,0,1,0,0,2,0,0,0,0,0,0,3,0,0,0,1,0,1,0,2,3,1,0,0,2,1,0,2,0,0,0,0,0,0,1,1,1,0,16,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0
nürnberg,1,1,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
riga,6,8,2,7,0,4,0,0,1,0,0,1,3,0,1,0,0,0,0,0,2,4,0,0,0,3,0,3,0,0,3,0,0,1,2,2,2,1,0,0,1,0,1,2,1,1,0,0,0,0,19,1,1,0,0,1,3,2,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,1,0,1,0,0,0,1,0,0,1,0,2,1,1,1,0,0,0,0,0,1,0,0,1,2,1,0
