city_A;city_B;POP_A;POP_B;CC_A;CC_B;distance;border_DUM;reg_border;FR_con;FR_int;EN_con;EN_int;CEAST;SOUTH;WEST;NORTH;col_en;col_fr;col_prop_fr;col_prop_en;fr_en_prop;en_fr_prop
London;Bournemouth;8256;390;UK;UK;149.53505974219183;0;0;0;0;1;1;0;0;1;0;895.0;73.0;0.01215581759945915;0.08575264376837934;0.14175443537685445;7.054452986543229
London;Middlesbrough;8256;389;UK;UK;346.2967460244901;0;0;0;0;1;1;0;0;1;0;349.0;23.0;0.003829915134076171;0.03343874041917808;0.1145352691538466;8.730935085652746
London;Geneva;8256;388;UK;CH;746.38176826223;1;0;1;0;1;0;0;0;1;0;1698.0;786.0;0.13088318675582042;0.16269049063542804;0.8044919297042114;1.2430205488421386
London;Bydgoszcz;8256;383;UK;PL;1242.573373385553;1;1;0;0;1;0;1;0;1;0;23.0;7.0;0.0011656263451536172;0.0022036992253326535;0.5289407609505618;1.8905708801925107
London;Basel;8256;381;UK;CH;709.231243915148;1;0;0;0;1;0;0;0;1;0;588.0;266.0;0.04429380111583745;0.056338049760678265;0.7862146684877398;1.27191725120503
London;Kaunas;8256;379;UK;LT;1641.850901871337;1;1;0;0;1;0;0;0;1;1;38.0;10.0;0.0016651804930765957;0.003640894372288731;0.4573547933031173;2.1864863223095994
London;Brno;8256;376;UK;CZ;1212.9004424991651;1;1;0;0;1;0;1;0;1;0;110.0;20.0;0.0033303609861531913;0.010539431077677906;0.31599058446397194;3.1646512559744204
London;Southampton;8256;376;UK;UK;112.69783489358743;0;0;0;0;1;1;0;0;1;0;2263.0;230.0;0.0382991513407617;0.21682484117077366;0.1766363629460559;5.6613484523874416
London;Lens;8256;374;UK;FR;237.9234280831063;1;0;1;0;1;0;0;0;1;0;48.0;18.0;0.0029973248875378726;0.00459902447025945;0.6517305804569423;1.5343763665330519
London;Augsburg;8256;371;UK;DE;861.1848131713425;1;0;0;0;1;0;0;0;1;0;85.0;48.0;0.00799286636676766;0.00814410583275111;0.9814295799822187;1.0189218059008551
London;Padua;8256;370;UK;IT;1113.26295798159;1;1;0;0;1;0;0;1;1;0;133.0;65.0;0.010823673204997872;0.012743130303010561;0.849373187562932;1.1773387889359384
London;Ostrava;8256;365;UK;CZ;1307.7768633321275;1;1;0;0;1;0;1;0;1;0;31.0;24.0;0.00399643318338383;0.002970203303709228;1.3455082951369128;0.7432135525394472
London;Las Palmas;8256;365;UK;ES;2862.518522483685;1;1;0;0;1;0;0;1;1;0;51.0;3.0;0.0004995541479229787;0.004886463499650666;0.10223224791481444;9.78164933664821
London;Constanta;8256;364;UK;RO;2277.404385344662;1;1;0;0;1;0;1;0;1;0;13.0;5.0;0.0008325902465382978;0.0012455691273619343;0.6684416209814792;1.496016957369726
London;Castellammare di Stabia-Torre Annunziata;8256;362;UK;IT;1640.0292836143424;1;1;0;0;1;0;0;1;1;0;3.0;2.0;0.00033303609861531913;0.0002874390293912156;1.1586321430345639;0.8630867061748418
London;Stoke;8256;359;UK;UK;218.30001270304436;0;0;0;0;1;1;0;0;1;0;1216.0;128.0;0.021314310311380424;0.1165086199132394;0.18294191732124693;5.466215805773999
London;Santa Cruz de Tenerife;8256;357;UK;ES;2858.53531149027;1;1;0;0;1;0;0;1;1;0;14.0;4.0;0.0006660721972306383;0.0013413821371590063;0.4965566327290988;2.0138689810746313
London;Lublin;8256;354;UK;PL;1569.7347434363257;1;1;0;0;1;0;1;0;1;0;50.0;25.0;0.00416295123269149;0.004790650489853594;0.8689741072759231;1.150782274899789
London;Cardiff;8256;353;UK;UK;214.15777732413466;0;0;0;0;1;1;0;0;1;0;2850.0;245.0;0.0407969220803766;0.27306707792165485;0.14940256581235167;6.693325476457956
London;Iasi;8256;349;UK;RO;2053.59466612353;1;1;0;0;1;0;1;0;1;0;16.0;7.0;0.0011656263451536172;0.0015330081567531502;0.7603523438664326;1.3151797427426162
London;Plovdiv;8256;341;UK;BG;2144.2652889712062;1;1;0;0;1;0;1;0;1;0;24.0;7.0;0.0011656263451536172;0.002299512235129725;0.5069015625776218;1.9727696141139242
London;Bradford;8256;341;UK;UK;276.608173978628;0;0;0;0;1;1;0;0;1;0;1532.0;103.0;0.01715135907868894;0.14678553100911412;0.11684638779297658;8.55824487935183
London;Alicante;8256;339;UK;ES;1460.638395782055;1;1;0;0;1;0;0;1;1;0;62.0;29.0;0.004829023429922127;0.005940406607418456;0.8129112616452181;1.2301465697204645
London;Cluj-Napoca;8256;332;UK;RO;1795.9886421078036;1;1;0;0;1;0;1;0;1;0;89.0;17.0;0.002830806838230213;0.008527357871939397;0.3319676364874313;3.012341837237683
London;Granada;8256;330;UK;ES;1612.5605139931974;1;1;0;0;1;0;0;1;1;0;494.0;69.0;0.01148974540222851;0.04733162683975351;0.24274985183011608;4.119466984061565
London;Timisoara;8256;328;UK;RO;1687.5435364729199;1;1;0;0;1;0;1;0;1;0;23.0;7.0;0.0011656263451536172;0.0022036992253326535;0.5289407609505618;1.8905708801925107
London;Brescia;8256;327;UK;IT;1010.4209192418488;1;1;0;0;1;0;0;1;1;0;64.0;31.0;0.005162059528537447;0.006132032627012601;0.8418186664235503;1.1879042837675244
London;Galati;8256;325;UK;RO;2167.6086433709934;1;1;0;0;1;0;1;0;1;0;12.0;3.0;0.0004995541479229787;0.0011497561175648624;0.4344870536379615;2.3015645497995783
