index,Paris,Londres,Madrid,Berlin,Milan,Barcelone,Athenes,Rome,Birmingham,Lisbonne,Naples,Katowice,Manchester,Hambourg,Budapest,Bucarest,Varsovie,Stuttgart,Vienne,Munich,Bruxelles,Stockholm,Francfort,Cologne,Copenhague,Valence,Turin,Glasgow,Prague,Lyon,Sofia,Liverpool,Porto,Seville,Dublin,Helsinki,Amsterdam,Rotterdam,Dusseldorf,Essen-Oberhausen,Lille,Lodz,Marseille,Anvers,Bilbao,Newcastle,Cracovie,Bochum-Herne,Thessalonique,Nuremberg,Riga,Duisbourg,Dortmund,Hanovre,Zurich,Oslo,Breme,Dresde,Sheffield,Palerme,Poznan,Gelsenkirchen-Bottrop,Bordeaux,Wroclaw,Goteborg-Gothembourg,Saragosse,Genes,Catane,La Haye,Toulouse,Bristol,Vilnius,Sarrebruck,Malaga,Nantes,Leeds,Nottingham,Florence,Gdansk,Leipzig,Mannheim,Belfast,Portsmouth,Venise,Edimbourg ,Murcie,Nice,Liege,Bratislava,Leicester,Karlsruhe,Bergame,Palma,Bologne,Bielefeld,Rouen,Strasbourg,Tallinn,Szczecin,Grenoble,Bari,Toulon,Brighton,Darmstadt,Wuppertal,Utrecht,Bournemouth,Middlesbrough,Geneve,Bydgoszcz,Bale,Kaunas,Brno,Southampton,Lens,Augsbourg,Padoue,Ostrava,Las Palmas de Grande Canarie,Constanta,Castellammare di Stabia-Torre Annunziata,Stoke,Santa Cruz de Tenerife,Lublin,Cardiff,Iasi,Plovdiv,Bradford,Alicante,Cluj-Napoca,Grenade,Timisoara,Brescia,Galati,Montpellier,Varna,Verone,Busto Arsizio,Valladolid,Eindhoven,Charleroi,Cordoue,La Corogne,Craiova,Caserte,Coventry,Brasov,Bonn,La Valette,Gand,Gdynia
Bielefeld,26.0,8.0,4.0,68.0,3.0,3.0,2.0,5.0,0.0,2.0,2.0,0.0,1.0,29.0,4.0,1.0,3.0,19.0,10.0,21.0,3.0,0.0,19.0,26.0,1.0,0.0,0.0,2.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,19.0,16.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,16.0,1.0,9.0,2.0,5.0,20.0,19.0,8.0,1.0,15.0,13.0,0.0,1.0,1.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,4.0,1.0,0.0,1.0,1.0,3.0,0.0,14.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,11.0,8.0,4.0,1.0,0.0,5.0,1.0,5.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0
Rouen,3678.0,189.0,28.0,45.0,33.0,23.0,13.0,178.0,9.0,18.0,21.0,0.0,15.0,23.0,15.0,1.0,13.0,8.0,74.0,24.0,144.0,16.0,18.0,26.0,9.0,44.0,29.0,8.0,19.0,624.0,4.0,14.0,6.0,10.0,16.0,8.0,69.0,26.0,5.0,1.0,450.0,1.0,446.0,92.0,8.0,1.0,7.0,0.0,1.0,4.0,2.0,2.0,1.0,6.0,11.0,9.0,11.0,7.0,0.0,5.0,2.0,0.0,524.0,1.0,3.0,3.0,16.0,1.0,39.0,331.0,4.0,1.0,1.0,3.0,385.0,1.0,0.0,44.0,3.0,3.0,7.0,3.0,7.0,37.0,4.0,0.0,159.0,54.0,1.0,7.0,6.0,2.0,1.0,14.0,2.0,0.0,325.0,1.0,1.0,390.0,3.0,95.0,9.0,2.0,0.0,8.0,1.0,0.0,76.0,2.0,19.0,1.0,5.0,5.0,60.0,7.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,243.0,0.0,1.0,0.0,1.0,3.0,12.0,3.0,0.0,0.0,2.0,6.0,0.0,4.0,1.0,36.0,1.0
Strasbourg,4946.0,254.0,92.0,480.0,125.0,85.0,47.0,265.0,11.0,37.0,28.0,3.0,27.0,78.0,51.0,34.0,51.0,139.0,256.0,256.0,455.0,41.0,307.0,226.0,41.0,52.0,44.0,24.0,100.0,1256.0,26.0,33.0,32.0,13.0,31.0,39.0,128.0,59.0,36.0,10.0,769.0,5.0,869.0,72.0,10.0,4.0,23.0,2.0,4.0,83.0,9.0,15.0,11.0,42.0,223.0,31.0,30.0,54.0,2.0,13.0,4.0,3.0,787.0,11.0,12.0,4.0,25.0,1.0,47.0,671.0,2.0,6.0,131.0,7.0,564.0,5.0,5.0,45.0,8.0,151.0,82.0,2.0,0.0,81.0,5.0,3.0,451.0,91.0,5.0,5.0,143.0,3.0,4.0,42.0,1.0,325.0,0.0,5.0,0.0,376.0,4.0,176.0,5.0,47.0,3.0,29.0,0.0,1.0,349.0,1.0,803.0,2.0,2.0,4.0,140.0,178.0,17.0,2.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,0.0,3.0,1.0,3.0,3.0,3.0,1.0,5.0,0.0,546.0,1.0,9.0,1.0,3.0,6.0,26.0,2.0,4.0,1.0,1.0,1.0,1.0,94.0,0.0,33.0,0.0
Tallinn,49.0,30.0,9.0,41.0,7.0,12.0,11.0,17.0,2.0,14.0,2.0,2.0,4.0,13.0,20.0,7.0,22.0,6.0,20.0,11.0,19.0,146.0,4.0,3.0,23.0,3.0,17.0,6.0,19.0,5.0,9.0,1.0,4.0,6.0,6.0,213.0,23.0,5.0,4.0,3.0,2.0,3.0,13.0,8.0,2.0,1.0,5.0,0.0,1.0,0.0,140.0,0.0,2.0,0.0,7.0,17.0,4.0,5.0,0.0,2.0,4.0,0.0,3.0,2.0,12.0,0.0,1.0,1.0,3.0,1.0,1.0,39.0,0.0,2.0,1.0,0.0,2.0,3.0,6.0,5.0,3.0,0.0,3.0,7.0,0.0,0.0,8.0,4.0,2.0,1.0,0.0,1.0,3.0,1.0,0.0,1.0,5.0,0.0,3.0,2.0,1.0,1.0,0.0,4.0,0.0,1.0,0.0,0.0,9.0,5.0,3.0,31.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,6.0,3.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,2.0,1.0
Szczecin,10.0,4.0,0.0,74.0,0.0,3.0,2.0,4.0,0.0,2.0,4.0,13.0,3.0,12.0,5.0,0.0,70.0,2.0,3.0,7.0,3.0,9.0,3.0,2.0,4.0,1.0,0.0,1.0,8.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,5.0,2.0,2.0,0.0,0.0,37.0,0.0,7.0,0.0,0.0,38.0,0.0,0.0,2.0,5.0,2.0,0.0,2.0,4.0,1.0,1.0,6.0,0.0,1.0,56.0,0.0,3.0,42.0,2.0,1.0,3.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,67.0,7.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,17.0,3.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,30.0
Grenoble,2379.0,115.0,31.0,56.0,86.0,61.0,26.0,127.0,3.0,10.0,38.0,1.0,12.0,7.0,16.0,9.0,17.0,13.0,649.0,44.0,97.0,14.0,21.0,21.0,6.0,666.0,127.0,4.0,16.0,2202.0,14.0,2.0,7.0,6.0,13.0,9.0,34.0,9.0,6.0,6.0,337.0,2.0,983.0,21.0,5.0,7.0,13.0,1.0,0.0,3.0,3.0,0.0,11.0,4.0,32.0,17.0,6.0,8.0,5.0,2.0,3.0,2.0,500.0,4.0,2.0,6.0,17.0,18.0,8.0,531.0,5.0,1.0,5.0,0.0,318.0,3.0,4.0,39.0,4.0,10.0,4.0,1.0,1.0,18.0,3.0,0.0,397.0,30.0,9.0,3.0,8.0,1.0,2.0,24.0,1.0,390.0,376.0,2.0,0.0,0.0,2.0,229.0,0.0,2.0,0.0,15.0,0.0,0.0,429.0,0.0,20.0,3.0,0.0,2.0,30.0,6.0,5.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,1.0,1.0,7.0,0.0,2.0,2.0,0.0,389.0,2.0,4.0,0.0,2.0,5.0,11.0,1.0,0.0,0.0,0.0,3.0,0.0,6.0,6.0,16.0,0.0
Bari,59.0,21.0,10.0,14.0,124.0,15.0,13.0,220.0,4.0,6.0,217.0,0.0,6.0,6.0,6.0,6.0,5.0,2.0,13.0,9.0,6.0,2.0,5.0,6.0,1.0,4.0,54.0,2.0,4.0,8.0,7.0,3.0,9.0,5.0,3.0,2.0,11.0,1.0,2.0,1.0,4.0,0.0,18.0,2.0,3.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,4.0,2.0,2.0,0.0,3.0,2.0,2.0,66.0,0.0,0.0,5.0,0.0,2.0,1.0,50.0,27.0,0.0,8.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,49.0,0.0,1.0,1.0,0.0,1.0,73.0,0.0,0.0,8.0,1.0,1.0,0.0,2.0,12.0,1.0,58.0,0.0,3.0,4.0,1.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,12.0,0.0,2.0,0.0,0.0,1.0,4.0,1.0,18.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,26.0,0.0,6.0,0.0,28.0,0.0,2.0,1.0,1.0,3.0,0.0,1.0,9.0,0.0,0.0,1.0,1.0,3.0,0.0
Toulon,1193.0,94.0,17.0,20.0,24.0,82.0,20.0,80.0,0.0,28.0,76.0,0.0,5.0,7.0,3.0,6.0,7.0,4.0,51.0,15.0,46.0,4.0,4.0,4.0,4.0,44.0,29.0,11.0,14.0,565.0,3.0,3.0,60.0,9.0,9.0,3.0,12.0,9.0,3.0,2.0,219.0,0.0,1418.0,25.0,0.0,10.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,9.0,3.0,2.0,1.0,1.0,17.0,0.0,0.0,400.0,0.0,2.0,2.0,127.0,2.0,4.0,411.0,10.0,0.0,2.0,29.0,262.0,2.0,2.0,19.0,0.0,1.0,4.0,0.0,11.0,36.0,6.0,0.0,663.0,18.0,0.0,22.0,1.0,0.0,6.0,9.0,0.0,95.0,176.0,1.0,1.0,229.0,4.0,0.0,2.0,2.0,0.0,7.0,1.0,0.0,46.0,0.0,8.0,1.0,0.0,4.0,100.0,14.0,7.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,23.0,0.0,0.0,0.0,6.0,0.0,14.0,0.0,2.0,0.0,301.0,0.0,2.0,0.0,1.0,1.0,9.0,1.0,4.0,0.0,0.0,0.0,1.0,3.0,85.0,12.0,1.0
Brighton,70.0,337.0,6.0,21.0,11.0,6.0,1.0,7.0,28.0,1.0,1.0,0.0,64.0,4.0,4.0,1.0,2.0,5.0,14.0,5.0,14.0,8.0,1.0,3.0,2.0,3.0,4.0,22.0,4.0,5.0,1.0,48.0,0.0,1.0,14.0,1.0,7.0,4.0,0.0,0.0,3.0,0.0,4.0,5.0,1.0,31.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,4.0,0.0,0.0,2.0,25.0,0.0,1.0,0.0,2.0,0.0,2.0,1.0,6.0,0.0,1.0,5.0,38.0,0.0,0.0,0.0,1.0,36.0,27.0,15.0,1.0,4.0,1.0,10.0,28.0,9.0,2.0,0.0,3.0,3.0,0.0,25.0,2.0,0.0,1.0,0.0,0.0,9.0,5.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,14.0,11.0,5.0,0.0,3.0,1.0,0.0,35.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,11.0,0.0,0.0,22.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,6.0,0.0,3.0,0.0,2.0,0.0
Darmstadt,128.0,54.0,20.0,214.0,26.0,14.0,9.0,30.0,1.0,9.0,6.0,2.0,0.0,55.0,6.0,8.0,16.0,53.0,86.0,101.0,20.0,11.0,166.0,58.0,2.0,2.0,8.0,5.0,25.0,8.0,10.0,1.0,1.0,2.0,9.0,7.0,13.0,3.0,35.0,13.0,3.0,0.0,4.0,9.0,4.0,0.0,3.0,5.0,2.0,21.0,6.0,3.0,11.0,50.0,28.0,9.0,11.0,48.0,0.0,0.0,0.0,1.0,6.0,3.0,2.0,1.0,3.0,1.0,6.0,4.0,1.0,4.0,6.0,1.0,3.0,0.0,1.0,6.0,2.0,48.0,47.0,1.0,0.0,21.0,4.0,0.0,4.0,7.0,1.0,1.0,46.0,0.0,0.0,8.0,11.0,2.0,47.0,4.0,1.0,2.0,0.0,2.0,0.0,0.0,3.0,7.0,0.0,0.0,19.0,0.0,26.0,0.0,2.0,0.0,0.0,15.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,18.0,0.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,2.0,0.0
Wuppertal,23.0,11.0,4.0,63.0,7.0,1.0,1.0,7.0,1.0,2.0,0.0,0.0,1.0,19.0,3.0,1.0,1.0,8.0,12.0,24.0,6.0,1.0,5.0,56.0,0.0,0.0,1.0,1.0,3.0,2.0,2.0,2.0,0.0,1.0,0.0,2.0,4.0,1.0,59.0,26.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,13.0,1.0,4.0,0.0,5.0,13.0,11.0,8.0,5.0,3.0,10.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,4.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,8.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0
Utrecht,187.0,111.0,43.0,67.0,27.0,18.0,11.0,94.0,3.0,15.0,35.0,1.0,8.0,26.0,8.0,6.0,13.0,11.0,53.0,22.0,110.0,11.0,33.0,107.0,17.0,8.0,25.0,11.0,19.0,21.0,1.0,6.0,8.0,9.0,5.0,5.0,532.0,223.0,14.0,7.0,42.0,0.0,3.0,112.0,5.0,8.0,3.0,5.0,3.0,11.0,1.0,5.0,6.0,14.0,21.0,7.0,18.0,5.0,0.0,7.0,1.0,0.0,12.0,1.0,6.0,4.0,11.0,2.0,220.0,13.0,10.0,1.0,2.0,3.0,22.0,3.0,2.0,15.0,1.0,18.0,3.0,1.0,1.0,16.0,3.0,1.0,29.0,121.0,1.0,6.0,5.0,1.0,1.0,11.0,4.0,8.0,29.0,1.0,1.0,15.0,4.0,7.0,1.0,7.0,0.0,0.0,0.0,1.0,38.0,2.0,23.0,0.0,1.0,2.0,0.0,23.0,7.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,10.0,1.0,5.0,0.0,2.0,65.0,6.0,0.0,2.0,1.0,0.0,0.0,1.0,23.0,0.0,57.0,0.0
Bournemouth,15.0,73.0,5.0,3.0,2.0,2.0,0.0,1.0,19.0,1.0,0.0,0.0,53.0,1.0,3.0,0.0,0.0,2.0,4.0,5.0,2.0,3.0,3.0,3.0,1.0,0.0,4.0,10.0,0.0,2.0,0.0,30.0,2.0,2.0,3.0,4.0,4.0,4.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,1.0,11.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,1.0,3.0,10.0,0.0,0.0,0.0,2.0,11.0,9.0,6.0,0.0,2.0,0.0,2.0,14.0,1.0,3.0,0.0,1.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,40.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,11.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
Middlesbrough,2.0,23.0,12.0,1.0,10.0,10.0,0.0,5.0,18.0,1.0,0.0,0.0,67.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,14.0,0.0,0.0,1.0,62.0,2.0,16.0,2.0,0.0,3.0,2.0,0.0,0.0,3.0,0.0,6.0,0.0,1.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,20.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,1.0,45.0,20.0,2.0,0.0,0.0,0.0,1.0,13.0,0.0,1.0,0.0,0.0,1.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,11.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,11.0,0.0,0.0,18.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,1.0,0.0,0.0
Geneve,3638.0,786.0,168.0,444.0,293.0,182.0,65.0,508.0,18.0,83.0,119.0,4.0,21.0,84.0,95.0,40.0,103.0,69.0,559.0,232.0,575.0,92.0,206.0,77.0,86.0,200.0,324.0,22.0,104.0,1338.0,27.0,11.0,53.0,33.0,47.0,47.0,216.0,39.0,38.0,13.0,98.0,7.0,353.0,84.0,20.0,4.0,36.0,10.0,6.0,25.0,12.0,4.0,11.0,15.0,1054.0,42.0,14.0,43.0,0.0,15.0,8.0,1.0,210.0,3.0,23.0,8.0,69.0,3.0,121.0,172.0,13.0,8.0,6.0,8.0,195.0,4.0,4.0,172.0,1.0,75.0,27.0,8.0,3.0,163.0,21.0,2.0,216.0,83.0,7.0,6.0,22.0,2.0,11.0,76.0,5.0,76.0,349.0,9.0,0.0,429.0,12.0,46.0,5.0,19.0,2.0,38.0,0.0,0.0,0.0,0.0,813.0,4.0,6.0,6.0,7.0,29.0,29.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0,7.0,3.0,4.0,0.0,4.0,12.0,7.0,1.0,10.0,0.0,140.0,6.0,18.0,0.0,2.0,6.0,22.0,2.0,5.0,1.0,4.0,3.0,2.0,51.0,0.0,39.0,0.0
Bydgoszcz,11.0,7.0,2.0,30.0,1.0,10.0,6.0,8.0,1.0,0.0,0.0,14.0,1.0,6.0,1.0,1.0,69.0,0.0,9.0,2.0,3.0,5.0,2.0,0.0,0.0,4.0,2.0,3.0,3.0,2.0,0.0,1.0,1.0,1.0,0.0,3.0,7.0,0.0,2.0,0.0,1.0,23.0,1.0,0.0,0.0,0.0,25.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,4.0,7.0,0.0,2.0,0.0,0.0,46.0,0.0,1.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,29.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,5.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,1.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0
Bale,937.0,266.0,108.0,295.0,139.0,84.0,29.0,233.0,12.0,31.0,28.0,1.0,68.0,95.0,29.0,12.0,31.0,99.0,285.0,201.0,137.0,57.0,164.0,150.0,28.0,21.0,48.0,22.0,68.0,170.0,16.0,33.0,25.0,25.0,13.0,14.0,123.0,70.0,47.0,8.0,30.0,1.0,62.0,65.0,13.0,8.0,22.0,11.0,4.0,69.0,11.0,7.0,19.0,33.0,1045.0,12.0,27.0,43.0,2.0,12.0,14.0,3.0,32.0,3.0,5.0,2.0,26.0,1.0,24.0,34.0,4.0,4.0,17.0,3.0,46.0,5.0,3.0,103.0,3.0,83.0,74.0,5.0,4.0,139.0,3.0,1.0,31.0,29.0,5.0,8.0,83.0,4.0,4.0,40.0,5.0,19.0,803.0,3.0,3.0,20.0,2.0,8.0,3.0,26.0,4.0,23.0,2.0,3.0,813.0,1.0,0.0,2.0,2.0,10.0,2.0,68.0,44.0,0.0,0.0,2.0,1.0,4.0,0.0,2.0,9.0,0.0,0.0,1.0,2.0,10.0,3.0,0.0,3.0,8.0,45.0,2.0,11.0,0.0,2.0,16.0,3.0,1.0,4.0,0.0,0.0,3.0,0.0,29.0,0.0,13.0,0.0
Kaunas,26.0,10.0,16.0,38.0,5.0,10.0,5.0,8.0,1.0,0.0,1.0,0.0,1.0,5.0,4.0,3.0,22.0,4.0,8.0,10.0,6.0,4.0,7.0,2.0,3.0,7.0,5.0,2.0,5.0,5.0,3.0,2.0,3.0,1.0,4.0,6.0,4.0,1.0,3.0,0.0,0.0,8.0,1.0,5.0,2.0,1.0,2.0,0.0,2.0,0.0,40.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,173.0,0.0,4.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,5.0,1.0,0.0,1.0,0.0,0.0,5.0,0.0,1.0,2.0,31.0,1.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,2.0
Brno,50.0,20.0,12.0,49.0,26.0,16.0,4.0,26.0,0.0,1.0,4.0,5.0,2.0,18.0,27.0,3.0,21.0,6.0,152.0,19.0,13.0,4.0,15.0,7.0,8.0,17.0,5.0,1.0,1589.0,8.0,5.0,0.0,0.0,2.0,2.0,2.0,14.0,8.0,3.0,3.0,1.0,3.0,4.0,8.0,0.0,0.0,15.0,4.0,1.0,4.0,6.0,0.0,2.0,2.0,13.0,3.0,0.0,10.0,0.0,2.0,5.0,0.0,2.0,12.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,2.0,0.0,1.0,3.0,3.0,16.0,7.0,0.0,0.0,12.0,1.0,0.0,6.0,4.0,62.0,2.0,4.0,0.0,0.0,4.0,0.0,5.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,6.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,64.0,0.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,3.0,3.0,0.0,7.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,5.0,6.0
Southampton,61.0,230.0,16.0,15.0,9.0,13.0,2.0,16.0,44.0,12.0,12.0,0.0,143.0,29.0,4.0,2.0,1.0,2.0,8.0,15.0,12.0,1.0,1.0,5.0,3.0,6.0,5.0,38.0,0.0,8.0,2.0,134.0,9.0,7.0,22.0,2.0,23.0,17.0,3.0,0.0,7.0,0.0,17.0,20.0,4.0,75.0,1.0,1.0,1.0,4.0,1.0,0.0,5.0,0.0,1.0,3.0,12.0,0.0,32.0,0.0,0.0,0.0,9.0,0.0,2.0,0.0,7.0,0.0,1.0,4.0,54.0,0.0,0.0,1.0,10.0,39.0,29.0,5.0,1.0,2.0,0.0,35.0,85.0,6.0,6.0,0.0,7.0,1.0,0.0,54.0,0.0,1.0,2.0,2.0,0.0,5.0,4.0,0.0,0.0,2.0,1.0,4.0,35.0,0.0,0.0,2.0,40.0,11.0,6.0,0.0,10.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,34.0,1.0,0.0,34.0,0.0,1.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,14.0,0.0,1.0,2.0,1.0,0.0
Lens,591.0,18.0,35.0,6.0,34.0,18.0,10.0,22.0,1.0,10.0,2.0,2.0,23.0,5.0,1.0,4.0,5.0,6.0,17.0,24.0,41.0,0.0,2.0,4.0,6.0,15.0,3.0,5.0,20.0,214.0,8.0,21.0,8.0,13.0,5.0,5.0,8.0,3.0,0.0,0.0,554.0,2.0,308.0,21.0,10.0,5.0,1.0,5.0,1.0,0.0,3.0,0.0,8.0,0.0,5.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,272.0,0.0,2.0,2.0,2.0,1.0,8.0,225.0,1.0,1.0,3.0,4.0,208.0,4.0,8.0,4.0,2.0,4.0,0.0,0.0,7.0,3.0,1.0,1.0,179.0,23.0,0.0,3.0,3.0,0.0,0.0,3.0,2.0,60.0,140.0,0.0,0.0,30.0,4.0,100.0,1.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0,2.0,1.0,0.0,3.0,0.0,3.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,139.0,0.0,1.0,0.0,5.0,13.0,12.0,0.0,13.0,1.0,0.0,2.0,0.0,0.0,0.0,8.0,0.0
