id_MUA;Mua;Mua_en;Mua_fr;SizeMUA1k;EU15;Code_Country;NUTS_1;NUTS_2;NUTS_3;X_COORD_first;Y_COORD_first;CountryCode_numeric;id_fua;Fua;id_PUR;PUR;Supra_poly_fua;PIA;Name_supra_poly_fua;Poly_fua;id_poly_fua;Name_poly_fua;SizeHinterland1k;GDP_per_capita;Dummy_Capital
FR00810;Paris;Paris;Paris;9591;1;FR;FR1;FR10;FR101;-923451;-49178;12;FR10544;Paris; ; ;0;PIA_Paris;99;0; ; ;1201;44;1
UK01886;London;London;Londres;8256;1;UK;UKI;UKI1;UKI11;-1039874;273202;29;UK11208;London; ; ;0;PIA_London;99;0; ; ;2752;45;1
ES00540;Madrid;Madrid;Madrid;4955;1;ES;ES3;ES30;ES300;-1573058;-867634;10;ES10378;Madrid; ; ;0;PIA_Madrid;99;0; ; ;308;29;1
DE00219;Berlin;Berlin;Berlin;3776;1;DE;DE3;DE30;DE300;-108502;279433;7;DE10144;Berlin; ; ;0;PIA_Berlin;99;0; ; ;240;22;1
IT01156;Milano;Milan;Milan;3698;1;IT;ITC;ITC4;ITC45;-455713;-486054;16;IT10767;Milano - Busto Arsizio - Como;IT113;Milano;0;PIA_Milano;99;1;IT03;Milano metropolitan area;604;35;0
ES00466;Barcelona;Barcelona;Barcelone;3659;1;ES;ES5;ES51;ES511;-1071654;-865671;10;ES10335;Barcelona; ; ;0;PIA_Barcelona;99;1;ES04;Barcelona metropolitan area;182;31;0
GR00868;Athinai;Athens;Athènes;3331;1;GR;GR3;GR30;GR300;769408;-1289524;13;GR10586;Athinai; ; ;0;PIA_Athinia;99;0; ; ;365;26;1
IT01228;Roma;Rome;Rome;2532;1;IT;ITE;ITE4;ITE43;-194226;-904825;16;IT10812;Roma; ; ;0;PIA_Roma;99;0; ; ;293;36;1
UK01783;Birmingham;Birmingham;Birmingham;2363;1;UK;UKD;UKD5;UKD51;-1134914;406610;29;UK11166;Birmingham; ; ;0;PIA_Birmingham;99;0; ; ;747;29;0
PT01566;Lisboa;Lisbon;Lisbonne;2315;1;PT;PT1;PT17;PT171;-206910403151;-92715049504;24;PT11038;Lisboa; ; ;0;PIA_Lisboa;99;0; ; ;201;20;1
IT01172;Napoli;Naples;Naples;2308;1;IT;ITF;ITF3;ITF33;-64226;-1014948;16;IT10778;Napoli - Castellamare di Stabia - Torre Annunziata - Nola;IT114;Napoli;0;PIA_Napoli;99;1;IT02;Napoli metropolitan area;38;17;0
PL01475;Katowice;Katowice;Katowice;2279;0;PL;PL2;PL22;PL22A;286978;31939;23;PL10967;Katowice;PL106;Silesian-Moravian;0;PIA_Katowice;99;1;PL01;Silesian-Moravian metropolitan area;1269;8;0
UK01895;Manchester;Manchester;Manchester;2207;1;UK;UKD;UKD2;UKD21;-1133134;516807;29;UK11212;Manchester; ; ;0;PIA_Manchester;99;0; ; ;290;31;0
DE00277;Hamburg;Hamburg;Hambourg;2123;1;DE;DE6;DE60;DE600;-330329;405830;7;DE10191;Hamburg; ; ;0;PIA_Hamburg;99;0; ; ;860;38;0
HU00896;Budapest;Budapest;Budapest;2123;0;HU;HU1;HU10;HU101;310058;-271574;14;HU10610;Budapest; ; ;0;PIA_Budapest;99;0; ; ;291;15;1
RO01596;Bucuresti;Bucharest;Bucarest;2064;0;RO;RO3;RO32;RO322;876920;-540444;25;RO11057;Bucuresti; ; ;0;PIA_Bucuresti;99;0; ; ;0;8;1
PL01541;Warszawa;Warsaw;Varsovie;2004;0;PL;PL1;PL12;PL129;426852;272262;23;PL11023;Warszawa; ; ;0; ;99;0; ; ;673;16;1
DE00381;Stuttgart;Stuttgart;Stuttgart;1735;1;DE;DE1;DE11;DE111;-427853;-119662;7;DE10275;Stuttgart; ; ;0;PIA_Stuttgart;99;1;DE01;Stuttgart metropolitan area;554;36;0
AT00019;Wien;Vienna;Vienne;1674;1;AT;AT1;AT13;AT130;102409;-198305;1;AT10017;Wien; ; ;0;PIA_Wien;99;1;AT01;Wien - Bratislava;847;34;1
DE00332;München;Munich;Munich;1647;1;DE;DE2;DE21;DE212;-256809;-199518;7;DE10235;München; ; ;0;PIA_München;99;1;DE09;München-Ausburg;976;45;0
BE00027;Brussels;Brussels;Bruxelles;1498;1;BE;BE1;BE10;BE100;-745840;146217;2;BE10021;Brussels;BE101;Flemisch Diamond;0;PIA_Bruxelles;99;1;BE01;Flemisch Diamond;1955;40;1
SE01710;Stockholm;Stockholm;Stockholm;1479;1;SE;SE1;SE11;SE110;170988;1039894;26;SE11119;Stockholm; ; ;0; ;99;0; ; ;369;45;1
