id_MUA;Mua;Mua_en;Mua_fr;SizeMUA1k;EU15;Code_Country;NUTS_1;NUTS_2;NUTS_3;X_COORD_first;Y_COORD_first;CountryCode_numeric;id_fua;Fua;id_PUR;PUR;Supra_poly_fua;PIA;Name_supra_poly_fua;Poly_fua;id_poly_fua;Name_poly_fua;SizeHinterland1k;GDP_per_capita;Dummy_Capital
DE00220;Bielefeld;Bielefeld;Bielefeld;419;1;DE;DEA;DEA4;DEA41;-442921;242929;7;DE10145;Bielefeld;DE102;Bielefeld - Detmold;0;PIA_Bielefeld;99;1;DE13;Bielefeld - Detmold;503;31;0
FR00824;Rouen;Rouen;Rouen;419;1;FR;FR2;FR23;FR232;-1001301;30960;12;FR10555;Rouen - Elboeuf; ; ;0;PIA_Rouen;99;0; ; ;180;27;0
FR00845;Strasbourg;Strasbourg;Strasbourg;417;1;FR;FR4;FR42;FR421;-532815;-133390;12;FR10569;Strasbourg - Kehl;FR111;Strasbourg-Baden-Offenburg-Haguenau;0;PIA_Strasbourg;99;1;FR01;Strasburg - Offenburg;407;29;0
EE00436;Tallinn;Tallinn;Tallinn;416;0;EE;EE0;EE00;EE001;552923;1085366;9;EE10319;Tallinn; ; ;0; ;99;0; ; ;85;15;1
PL01534;Szczecin;Szczecin;Szczecin;416;0;PL;PL4;PL42;PL424;-25528;381667;23;PL11016;Szczecin; ; ;0; ;99;0; ; ;151;9;0
FR00753;Grenoble;Grenoble;Grenoble;415;1;FR;FR7;FR71;FR714;-727768;-491313;12;FR10507;Grenoble; ; ;0;PIA_Grenoble;99;0; ; ;258,911;28;0
IT00994;Bari;Bari;Bari;411;1;IT;ITF;ITF4;ITF42;154896;-985644;16;IT10675;Bari;IT104;Bari;0;PIA_Bari;99;0; ; ;0;18;0
FR00850;Toulon;Toulon;Toulon;410;1;FR;FR8;FR82;FR825;-736906;-719129;12;FR10574;Toulon; ; ;0;PIA_Marseille-Aix-en-Provence;99;0; ; ;144,228;25;0
UK01796;Brighton;Brighton;Brighton;410;1;UK;UKI;UKI2;UKI21;0;0;29;UK11171;Brighton/Worthing/Littlehampton; ; ;0;PIA_Brighton;99;0; ; ;245;31;0
DE00236;Darmstadt;Darmstadt;Darmstadt;407;1;DE;DE7;DE71;DE711;-454659;6063;7;DE10158;Darmstadt;DE108;Rhein - Main;0;PIA_Frankfurt-am-Main;99;1;DE07;Rhein - Main;1542;30;0
DE00402;Wuppertal;Wuppertal;Wuppertal;395;1;DE;DEA;DEA1;DEA1A;-545613;167798;7;DE10290;Wüppertal;DE110;Rhein - Ruhr;1;PIA_Köln;99;1;DE05;Rhein - Ruhr;2466;27;0
NL01410;Utrecht;Utrecht;Utrecht;390;1;NL;NL3;NL31;NL310;-677907;278068;21;NL10917;Utrecht;NL106;Randstad;1;PIA_Amsterdam;99;1;NL03;Randstad Holland Oost;760;39;0
UK01790;Bournemouth;Bournemouth;Bournemouth;390;1;UK;UKD;UKD4;UKD43;-1178074;216247;29;UK11169;Bournemouth; ; ;0;PIA_Southampton;99;0; ; ;141;29;0
UK01898;Middlesbrough;Middlesbrough;Middlesbrough;389;1;UK;UKI;UKI1;UKI11;-1040744;620509;29;UK11213;Middlesborough; ; ;0;PIA_Tyneside;99;0; ; ;156;25;0
CH00100;Genève;Geneva;Genève;388;1;CH;CH0;CH01;CH013;-682186;-382019;4;CH10081;Genève;CH103;Genève-Annemasse-Annecy-Cluses;0;PIA_Genève;99;0; ; ;585;38;0
PL01452;Bydgoszcz;Bydgoszcz;Bydgoszcz;383;0;PL;PL6;PL61;PL613;204474;352680;23;PL10947;Bydgoszcz;PL101;Bydgoszcz - Torun;0;PIA_Bydgoszcz;99;0; ; ;133;8;0
CH00087;Basel;Basel;Bâle;381;1;CH;CH0;CH03;CH031;-556549;-244398;4;CH10076;Basel;CH101;Basel-Mulhouse;0;PIA_Basel;99;1;CH01;Basel-Mulhouse metropolitan area;191;42;0
LT01307;Kaunas;Kaunas;Kaunas;379;0;LT;LT0;LT00;LT002;572494;579904;17;LT10861;Kaunas; ; ;0;PIA_Kaunas;99;0; ; ;356,149;7;0
CZ00142;Brno;Brno;Brno;376;0;CZ;CZ0;CZ06;CZ064;115864;-86958;6;CZ10102;Brno; ; ;0; ;99;0; ; ;159;10;0
UK01938;Southampton;Southampton;Southampton;376;1;UK;UKH;UKH2;UKH23;-1142289;228149;29;UK11226;Portsmouth/Southampton;UK110;Portsmouth-Southampton;0;PIA_Southampton;99;0; ; ;523;32;0
FR00768;Lens;Lens;Lens;374;1;FR;FR3;FR30;FR301;-860822;118991;12;FR10516;Douai-Lens;FR105;Lille;0; ;99;1;FR04;Lille metropolitan area;818;23;0
DE00208;Augsburg;Augsburg;Augsbourg;371;1;DE;DE2;DE27;DE271;-304846;-175680;7;DE10136;Augsburg; ; ;0; ;99;0; ; ;235;30;0
IT01190;Padova;Padua;Padoue;370;1;IT;ITD;ITD3;ITD36;-244035;-506028;16;IT10786;Padova;IT118;Venezia - Padova;0;PIA_Venezia;99;1;IT01;Venezia - Padova metropolitan area;468;30;0
CZ00177;Ostrava;Ostrava;Ostrava;365;0;CZ;CZ0;CZ08;CZ080;233748;-15677;6;CZ10117;Ostrava;PL106;Silesian-Moravian;0;PIA_Ostrava;99;1;PL01;Silesian-Moravian metropolitan area;1269;10;0
ES00529;Las Palmas de Gran Canaria;Las Palmas;Las Palmas de Grande Canarie;365;1;ES;ES7;ES70;ES705;-2966913;-1852242;10;ES10370;Las Palmas de Gran Canarias; ; ;0;PIA_Las Palmas de Gran Canarias;99;0; ; ;220;21;0
RO01613;Constanta;Constanta;Constanta;364;0;RO;RO2;RO22;RO223;1083309;-548137;25;RO11061;Constanta; ; ;0; ;99;0; ; ;0;7;0
